Log_name	Pos	Event_type	Server_id	End_log_pos	Info
mysql-bin.000002	2916958	Write_rows	1	2917021	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2917021	Table_map	1	2917090	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2917090	Write_rows	1	2917159	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2917159	Table_map	1	2917240	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2917240	Write_rows	1	2917329	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2917329	Table_map	1	2917388	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2917388	Write_rows	1	2917429	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2917429	Table_map	1	2917496	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2917496	Write_rows	1	2917554	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2917554	Table_map	1	2917623	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2917623	Write_rows	1	2917692	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2917692	Table_map	1	2917773	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2917773	Write_rows	1	2917844	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2917844	Table_map	1	2917903	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2917903	Write_rows	1	2917944	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2917944	Table_map	1	2918011	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2918011	Write_rows	1	2918073	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2918073	Table_map	1	2918142	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2918142	Write_rows	1	2918211	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2918211	Table_map	1	2918292	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2918292	Write_rows	1	2918381	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2918381	Table_map	1	2918440	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2918440	Write_rows	1	2918481	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2918481	Table_map	1	2918548	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2918548	Write_rows	1	2918611	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2918611	Table_map	1	2918680	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2918680	Write_rows	1	2918817	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2918817	Table_map	1	2918898	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2918898	Write_rows	1	2918987	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2918987	Table_map	1	2919046	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2919046	Write_rows	1	2919087	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2919087	Table_map	1	2919154	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2919154	Write_rows	1	2919215	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2919215	Table_map	1	2919284	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2919284	Write_rows	1	2919421	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2919421	Table_map	1	2919502	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2919502	Write_rows	1	2919631	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2919631	Table_map	1	2919690	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2919690	Write_rows	1	2919731	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2919731	Table_map	1	2919798	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2919798	Write_rows	1	2919859	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2919859	Table_map	1	2919928	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2919928	Write_rows	1	2919997	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2919997	Table_map	1	2920078	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2920078	Write_rows	1	2920149	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2920149	Table_map	1	2920208	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2920208	Write_rows	1	2920249	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2920249	Table_map	1	2920316	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2920316	Write_rows	1	2920367	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2920367	Table_map	1	2920436	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2920436	Write_rows	1	2921695	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2921695	Table_map	1	2921776	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2921776	Write_rows	1	2921963	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2921963	Table_map	1	2922022	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2922022	Write_rows	1	2922063	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2922063	Table_map	1	2922130	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2922130	Write_rows	1	2922183	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2922183	Table_map	1	2922252	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2922252	Write_rows	1	2924820	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2924820	Table_map	1	2924901	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2924901	Write_rows	1	2925099	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2925099	Table_map	1	2925158	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2925158	Write_rows	1	2925199	table_id: 104 flags: STMT_END_F
